NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
NX15100Z 250601                                             SG31A0000001        AFUS      NX15100Z 250601
NX16100F 260601                                             SG31A8000003        BJHS      NX16100F 260601
NX18100A 280501                                             SG31B7000002        CMGS      NX18100A 280501
NY05100N 200901                                             SG7928920854        6SUS      NY05100N 200901
NY07100X 220901                                             SG7J28931946        7PMS      NY07100X 220901
NY09100H 240901                                             SG7S30941627        3UJS      NY09100H 240901
NY14100E 290701                                             SG3263998209        T8FS      NY14100E 290701
NZ07100S 270301                                             SG7J60932174        7QQS      NZ07100S 270301
NZ10100F 300901                                             SG7U32949426        OL9S      NZ10100F 300901
NZ13100V 330901                                             SG3261987691        R1NS      NZ13100V 330901
NZ16100X 360801                                             SG31A9000002        BJIS      NZ16100X 360801
NZ19100S 390701                                             SGXF13029610        8YLS      NZ19100S 390701
OCBC A$300M F200317                                         AU3FN0030540        3U1B      OCBC f200317S
OCBC A$300M F201006                                         AU3FN0038345        81HB      OCBC F201006S
OCBC A$500M F210906                                         AU3FN0044244        GHJB      OCBC f210906S
OCBC A$500M F221205                                         AU3FN0051934        9L5B      OCBC f221205S
OCBC A$550M F220523                                         AU3FN0048310        VJVB      OCBC f220523S
OCBC A$600M F210423                                         AU3FN0042214        8SOB      OCBC f210423S
OCBC BK MB ECW200806                                        SGXN49069234        WOYW      OCBC Bk MB eCW200806
OCBC BK MB ECW201228                                        SGXN42438667        YHUW      OCBC Bk MB eCW201228
OCBC BK MB ECW201229                                        SGXN63593499        GNAW      OCBC Bk MB eCW201229
OCBC BK MB ECW201230                                        SGXN28627796        LCKW      OCBC Bk MB eCW201230
OCBC BK MB ECW210301                                        SGXN28594202        XV1W      OCBC Bk MB eCW210301
OCBC BK MB EPW200701                                        SGXN80860681        W8BW      OCBC Bk MB ePW200701
OCBC BK MB EPW201228                                        SGXN52348517        NJBW      OCBC Bk MB ePW201228
OCBC BK MB EPW201231                                        SGXN67300768        HAGW      OCBC Bk MB ePW201231
OCBC EUR500M 0.25%B220321                                   XS1577799312        6I3B      OCBC b0.25%220321S
OCBC EUR500M 0.25%B221005                                   XS1689593389        81TB      OCBC b0.25%221005S
OCBC EUR500M 0.375%B230301                                  XS1784059930        8KTB      OCBC b0.375%230301S
OCBC EUR500M 0.625%B250418                                  XS1808713736        8RQB      OCBC b0.625%250418S
OCBC GBP250M F230314                                        XS1790067745        8MIB      OCBC f230314S
OCBC HKD1.403B 1.59%N200925                                 XS1688695508        80KB      OCBC n1.59%200925S
OCBC S$1B4%PERCAPSEC                                        SGXF81199428        EQMB      OCBC 4%PerCapSec S
OCBC S$500M3.8%NCCPCS                                       SG6YJ3000003        34KB      OCBC 3.8%NCCPCS S
OCBC US$1B4.25% N240619A                                    US69033CAC38        10ZB      OCBCn4.25%240619A
OCBC US$1B4.25% N240619R                                    US69033DAC11        11AB      OCBCn4.25%240619R
OCBC US$340M F210517A                                       XS1822309107        8WOB      OCBC f210517A
OCBC US$340M F210517R                                       XS1822288939        8WPB      OCBC f210517R
OCBC US$40M3.5% N371228                                     XS0868103796        2NCB      OCBC n3.5%371228S
OCBC US$40M3.54% N371009                                    XS0837574184        2JNB      OCBC n3.54%371009S
OCBC US$45M N381203                                         XS0997167548        2P8B      OCBC n381203S
OCEAN FUNDING US$200M F291217                               XS2078814063        FTNB      Ocean Funding f291217S
OCEAN SKY INTERNATIONAL LTD                                 SG1DD2000002        1B6       Ocean Sky Intl
OCEAN SKY INTERNATIONALW210806                              SGXN18898282        9CWW      Ocean Sky W210806
OCEANUS GROUP LIMITED                                       SG1M80907371        579       Oceanus^
OCEANWEALTH RMB850M6.5%N200227                              HK0000329851        6E7B      OceanWealthn6.5%200227S
OEL (HOLDINGS) LIMITED                                      SG0584008601        584       OEL
OI S.A.US$1B5.5%N201023A                                    US87944LAE92        4KUB      OI S.A5.5%n201023A
OI S.A.US$1B5.5%N201023R                                    USP9037HAL70        4KVB      OI S.A5.5%n201023R
OIL INDIA US$500M4%270421                                   XS1565437487        6T1B      OilIndian 4%270421S
OIL INDIA US$550M5.125%N290204                              XS1932866079        FSYB      OilIndian5.125%290204S
OILINDIA US$500M5.375%N240417                               XS1056232322        3J3B      OilIndian5.375%240417S
OILNATGASUS$300M3.375%N291205                               XS2087717364        KQEB      OilNatGasn3.375%291205S
OISA IN JR US$1.653557BN250727                              USP7354PAA23        YCHB      OI SA In JR n250727S
OKH GLOBAL LTD.                                             BMG6730R1079        S3N       OKH Global^
OKP HOLDINGS LIMITED                                        SG1M55904841        5CF       OKP
OLAM A$150M4.875%N200326                                    XS1207409621        27DB      Olam n4.875% 200326S
OLAM INTERNATIONAL LIMITED                                  SG1Q75923504        O32       Olam Intl
OLAM S$300M5.5% PERCAPSEC                                   SG7DJ3000005        76UB      Olam n5.5% PERCAPSEC S
OLAM S$500M 6%N221025                                       SG6X10986208        2KIB      Olam n6%221025S
OLAM US$250M 7.5%B200812                                    XS0531284080        4IYB      Olam b7.5%200812S
OLAM US$300M4.375%N230109                                   XS1575977365        6G0B      Olam n4.375%230109S
OLAM US$300M4.5%N200205                                     XS1093915228        14FB      Olam n4.5% 200205S
OLAM US$300M4.5%N210412                                     XS1394068693        3X7B      Olam n4.5% 210412S
OLAM US$500M5.35% PERCAPSEC                                 XS1452359521        4L3B      Olam n5.35% PERCAPSEC S
OLD CHANG KEE LTD.                                          SG1W49939232        5ML       Old Chang Kee
OLIVE TREE ESTATES LIMITED                                  SG1EB5000001        1H2       Olive Tree
ONEAPEX LIMITED                                             SG2C90967473        5SY       OneApex
ONESTOXXASEAN FUND                                          TH6599010001        CFN       ONESTOXXASEAN US$
ONGCVIDESH US$500M3.75%N230507                              XS0922882344        2USB      ONGCVides3.75%230507S
ONGCVIDESHUS$750M4.625%N240715                              XS1079848369        13CB      ONGCVidesn4.625%240715S
ONGCVIDVAN US$600M3.75%N260727                              XS1457499645        4M6B      ONGC VV n3.75%260727S
ONGCVIDVANUS$400M2.875%N220127                              XS1447581379        4M5B      ONGC VV n2.875%220127S
OPERSERMEGUS$350M8.25%N250211A                              US68373NAA37        1X8B      OpeSerMegn8.25%250211A
OPERSERMEGUS$350M8.25%N250211R                              USP73699BH55        ESRB      OpeSerMegn8.25%250211R
OPTUS FIN EUR500M1%N290620                                  XS2013539635        57QB      OptusFin1%290620S
OPTUS FIN EURO700M3.5%N200915                               XS0541498837        4KHB      OptusFi3.5%200915S
OPTUS FIN US$500M4.625%N191015                              XS0457559838        3ZEB      OptusFi4.625%191015S
ORAZUL USD550M5.625%N270428A                                US68559BAA52        6V8B      Orazul n5.625%270428A
ORAZUL USD550M5.625%N270428R                                USP7372BAA19        6V7B      Orazul n5.625%270428R
ORIGINENE EUR600M1%N290917                                  XS2051788219        IBAB      Origin1%290917 S
OSSIA INTERNATIONAL LTD                                     SG1D61018413        O08       Ossia Intl^
OTTAWAH US$365M5.875%N180516A                               US689402AA36        2VFB      OttawaHn5.875%180516A
OTTAWAH US$365M5.875%N180516R                               USY6589AAA44        2VGB      OttawaHn5.875%180516R
OUE COMMERCIAL REIT                                         SG2G60000004        TS0U      OUE Com Reit
OUE CT TREA S$150M3.03%N200905                              SG7GI5000008        7U2B      OUECTTrean3.03%200905S
OUE LIMITED                                                 SG2B80958517        LJ3       OUE
OUE LIPPO HEALTHCARE LTD                                    SG2F86994413        5WA       OUE Lippo HC
OUE LTD S$154.75M1.5%CB230413                               XS1796078324        8QZB      OUELtd cb1.5%230413S
OUE LTD S$300M3.8%N200415                                   SG6WF5000003        28AB      OUELtd n3.8%200415S
OUE TREA S$200M3.55%N230510                                 SG7JE3000003        84RB      OUETrea n3.55%230510S
OUE TREA S$200M3.75%N220417                                 SG7AG7000003        6S6B      OUETrea n3.75%220417S
OUHUA ENERGY HOLDINGS LIMITED                               BMG6843Q1033        AJ2       Ouhua Energy^
OVERSEA-CHINESE BANKING CORP                                SG1S04926220        O39       OCBC Bank
OVERSEAS EDUCATION LIMITED                                  SG2F49989922        RQ1       Overseas Edu
OXLEY HOLDINGS LIMITED                                      SG2F25986140        5UX       Oxley
OXLEY MTN S$150M 5.15%B200518                               SG31B3000006        BTNZ      Oxley MTN b5.15%200518
OXLEY MTN S$150M5.7%N220131                                 SG7MB0000006        8HEB      Oxley MTN n5.7%220131S
OXLEY MTN SGD75M6.5%N230228                                 SGXF29896317        HFUB      Oxley MTN n6.5%230228S
OXLEY MTN US$200M6.375%N210421                              XS1600398504        6T7B      Oxley MTN n6.375%210421S
P5 CAPITAL HOLDINGS LTD.                                    SG1I98885227        5AI       P5 Capital
PACIFIC ANDES RESOURCES DEVLTD                              BMG6845B1046        P11       Pacific Andes
PACIFIC CENTURY REGIONAL DEVTS                              SG1J17886040        P15       Pacific Century
PACIFIC NATGBP300M5%N230919                                 XS0972735533        2C5B      PacificNat 5%n230919S
PACIFIC RAD S$100M4.3%N200331                               SG6SF2000004        14WB      PacificRad n4.3%190930S
PACIFIC RADIANCE LTD.                                       SG2G39998387        T8V       Pacific Radiance
PACIFIC STAR DEVELOPMENT LTD                                SG1DE5000007        1C5       Pacific Star Dev
PACIFICANDES S$200M8.5%B170730                              XS1090219970        14AB      PacificAndesb8.5%170730S
PACIFICINTL S$60M8.5%N201116                                SG7JE9000007        84WB      PacificInt n8.5%201116S
PACIFICNAT US$400M4.75%N280322                              XS1794216660        8NTB      PacificN n4.75%280322S
PACNET US$350M 9%N181212A                                   US695229AC81        2Q6B      Pacnet n9%181212A
PACNET US$350M 9%N181212R                                   USG68656AC44        2Q5B      Pacnet n9%181212R
PAKUWON PRIMA US$250M5%240214                               XS1517977093        68PB      PakuwonPrima n5%240214S
PALADIN US$115M9%/10%N230201A                               XS1762161666        8HAB      Paladin n9%/10%230201A
PALADIN US$115M9%/10%N230201R                               XS1762161310        8HBB      Paladin n9%/10%230201R
PAN ASIAN HOLDINGS LIMITED                                  SG1Q04920423        5EW       Pan Asian
PAN HONG HOLDINGS GROUP LTD                                 BMG6900A1163        P36       Pan Hong
PAN OCEAN CO., LTD.                                         KR7028670008        AZY       Pan Ocean
PANASONIC US$1B2.536%N220719A                               US69832AAA43        TNOB      Panasonicn2.536%220719A
PANASONIC US$1B2.536%N220719R                               USJ6354YAN43        OCEB      Panasonicn2.536%220719R
PANASONIC US$1B2.679%N240719A                               US69832AAB26        ODCB      Panasonicn2.679%240719A
PANASONIC US$1B2.679%N240719R                               USJ6354YAP90        WVAB      Panasonicn2.679%240719R
PANASONIC US$500M3.113%N290719A                             US69832AAC09        WQ8B      Panasonicn3.113%290719A
PANASONIC US$500M3.113%N290719R                             USJ6354YAQ73        TEUB      Panasonicn3.113%290719R
PANDAGREENUSD250M8.25%N200125                               XS1512652600        67RB      PandaGreen n8.25%200125S
PAN-UNITED CORPORATION LTD                                  SG1A67000830        P52       PanUnited
PAPUANGUS$500M8.375%N281004A                                US69888UAB17        RBHB      PapuaNGn8.375%281004A
PAPUANGUS$500M8.375%N281004R                                USY6726SAP66        OYUB      PapuaNGn8.375%281004R
PARK24 JPY35B Z251029                                       XS1892122166        GRRB      Park24 z251029S
PARKSON RETAIL ASIA LIMITED                                 SG2D81975377        O9E       Parkson Retail^
PARKWAY PAN US$500M4.25%PERSEC                              XS1652511566        79GB      ParkwayPann4.25%PerSec S
PARKWAYLIFE REIT                                            SG1V52937132        C2PU      ParkwayLife Reit
PAVILLON HOLDINGS LTD.                                      SG1I46882631        596       Pavillon^
PB INTL USD200M7.625%N220126                                XS1555631925        68AB      PB Intl n7.625%220126S
PCCWCAPNO.4 US$300M5.75%220417                              XS0766460157        2BQB      PCCWCapn5.75%220417S
PCCW-HKTCAP US$500M3.75%230308                              XS0900763029        2QWB      PCCW-HCn3.75%230308S
PCPD CAP US$500M4.75%N220309                                XS1572363858        6G7B      PCPDCap n4.75%220309S
PEARLHLDG US$175M9.5%N221211A                               US70477NAA46        8CYB      PearlHldg n9.5%221211A
PEARLHLDG US$175M9.5%N221211R                               USG44527AA02        8CZB      PearlHldg n9.5%221211R
PEC LTD.                                                    SG1Y45946619        IX2       PEC
PENGUIN INTERNATIONAL LIMITED                               SG1CI0000005        BTM       Penguin Intl
PER PENER SBSN US$1B4%181121 A                              US715675AA21        7VAB      PerPenSBSN4%181121 A
PER PENER SBSN US$1B4%181121 R                              USY68616AA22        7UZB      PerPenSBSN4%181121 R
PER PLNEGARA US$1B5.5%B211122A                              US71568PAA75        7VDB      PER PLN 5.5%211122A
PER PLNEGARA US$1B5.5%B211122R                              US71568QAA58        7VEB      PER PLN 5.5%211122R
PERENNIAL REAL ESTATE HLDGSLTD                              SG1AD8000002        40S       Perennial Hldgs
PERENNIAL S$120M3.9%N210112                                 SG7LD9000005        8EMB      Perennial n3.9%210112S
PERENNIAL S$180M5.95%N200828                                SGXF76850027        LSAB      Perennial n5.95%200828S
PERENNIAL S$280M4.55%N200429                                SG31B2000007        BSKZ      Perennial n4.55%200429
PERENNIALTREAS$100M3.85%200703                              SG7DH9000003        76GB      PerennialT3.85%200703S
PERISAI CAP S$23M6.875%N161003                              SG57J6997255        2D2B      Perisai6.875%161003S
PERLISNEGUS$1.5B4.125%N270515A                              US71568PAC32        6X3B      Per LisNegn4.125%270515A
PERLISNEGUS$1.5B4.125%N270515R                              US71568QAC15        6X4B      Per LisNegn4.125%270515R
PERLISNEGUS$500M5.25%N470515A                               US71568PAD15        6X8B      Per LisNegn5.25%470515A
PERLISNEGUS$500M5.25%N470515R                               US71568QAD97        6X9B      Per LisNegn5.25%470515R
PERPENER SBSNUS$1B3.3%N221121A                              US71567PAA84        2LXB      PerPenSBSN3.3%221121A
PERPENER SBSNUS$1B3.3%N221121R                              US71567RAA41        2LYB      PerPenSBSN3.3%221121R
PERPESBSNUS$1.5B4.35%N240910A                               US71567PAC41        15OB      PerPenSBSN4.35%240910A
PERPESBSNUS$1.5B4.35%N240910R                               US71567RAC07        15PB      PerPenSBSN4.35%240910R
PERPESBSNUS$1.5B6.125%N190315A                              US71567PAB67        2B7B      PerPenSBSN6.125%190315A
PERPESBSNUS$1.5B6.125%N190315R                              US71567RAB24        2B8B      PerPenSBSN6.125%190315R
PERU LNGUS$940M5.375%N300322A                               US715604AA27        8NRB      PeruLNG n5.375%300322A
PERU LNGUS$940M5.375%N300322R                               USP7721BAE13        8NSB      PeruLNG n5.375%300322R
PERUSAHA EUR500M1.875%N311105A                              XS2073758612        XXYB      Perusaha n1.875%311105A
PERUSAHA EUR500M1.875%N311105R                              XS2073758885        IXTB      Perusaha n1.875%311105R
PERUSAHA EUR500M2.875%N251025A                              XS1895571328        SAHB      Perusaha n2.875%251025A
PERUSAHA EUR500M2.875%N251025R                              XS1891336932        SVIB      Perusaha n2.875%251025R
PERUSAHA US$1B5.45%N280521A                                 US71568PAE97        8WZB      Perusaha n5.45%280521A
PERUSAHA US$1B5.45%N280521R                                 US71568QAE70        8XAB      Perusaha n5.45%280521R
PERUSAHA US$1B6.15%N480521A                                 US71568PAF62        8WXB      Perusaha n6.15%480521A
PERUSAHA US$1B6.15%N480521R                                 US71568QAF46        8WYB      Perusaha n6.15%480521R
PERUSAHA US$500M3.375%N300205A                              US71568PAL31        SFOB      Perusaha n3.375%300205A
PERUSAHA US$500M3.375%N300205R                              US71568QAL14        TYPB      Perusaha n3.375%300205R
PERUSAHA US$500M4.375%N500205A                              US71568PAM14        YFZB      Perusaha n4.375%500205A
PERUSAHA US$500M4.375%N500205R                              US71568QAM96        RBDB      Perusaha n4.375%500205R
PERUSAHA US$500M5.375%N290125A                              US71568PAG46        PBJB      Perusaha n5.375%290125A
PERUSAHA US$500M5.375%N290125R                              US71568QAG29        JAWB      Perusaha n5.375%290125R
PERUSAHA US$500M6.25%N490125A                               US71568PAH29        9NNB      Perusaha n6.25%490125A
PERUSAHA US$500M6.25%N490125R                               US71568QAH02        V2SB      Perusaha n6.25%490125R
PERUSAHA US$700M3.875%N290717A                              US71568PAJ84        GQQB      Perusaha n3.875%290717A
PERUSAHA US$700M3.875%N290717R                              US71568QAJ67        LSFB      Perusaha n3.875%290717R
PERUSAHA US$700M4.875%N490717A                              US71568PAK57        KQWB      Perusaha n4.875%490717A
PERUSAHA US$700M4.875%N490717R                              US71568QAK31        PJAB      Perusaha n4.875%490717R
PERUSAHAAN US$1B5.25%N421024A                               US71568PAB58        2KNB      Perusaha5.25%421024A
PERUSAHAAN US$1B5.25%N421024R                               US71568QAB32        2KOB      Perusaha5.25%421024R
PERUSAHAANUS$1B3.4%TC220329A                                US71567PAG54        6K3B      PerusahaTC3.4%220329A
PERUSAHAANUS$1B3.4%TC220329R                                US71567RAG11        6K4B      PerusahaTC3.4%220329R
PERUSAHAANUS$2B4.15%TC270329A                               US71567PAH38        6K5B      PerusahaTC4.15%270329A
PERUSAHAANUS$2B4.15%TC270329R                               US71567RAH93        6K6B      PerusahaTC4.15%270329R
PERUSAHAANUS$2B4.325%TC250528A                              US71567PAD24        30DB      PerusahaTC4.325%250528A
PERUSAHAANUS$2B4.325%TC250528R                              US71567RAD89        30EB      PerusahaTC4.325%250528R
PERUSAHAANUS$750M3.4%TC210329A                              US71567PAE07        3W1B      Perusaha TC3.4%210329A
PERUSAHAANUS$750M3.4%TC210329R                              US71567RAE62        3W0B      Perusaha TC3.4%210329R
PERUSAHAUS$1.25B3.75%TC230301A                              US71567PAJ93        8KNB      PerusahaTC3.75%230301A
PERUSAHAUS$1.25B3.75%TC230301R                              US71567RAJ59        8KOB      PerusahaTC3.75%230301R
PERUSAHAUS$1.25B4.45%TC290220A                              US71567PAM23        XFVB      PerusahaTC4.45%290220A
PERUSAHAUS$1.25B4.45%TC290220R                              US71567RAM88        XY2B      PerusahaTC4.45%290220R
PERUSAHAUS$1.75B4.4%TC280301A                               US71567PAK66        8KPB      PerusahaTC4.4%280301A
PERUSAHAUS$1.75B4.4%TC280301R                               US71567RAK23        8KQB      PerusahaTC4.4%280301R
PERUSAHAUS$1.75B4.55%TC260329A                              US71567PAF71        3V9B      PerusahaTC4.55%260329A
PERUSAHAUS$1.75B4.55%TC260329R                              US71567RAF38        3V8B      PerusahaTC4.55%260329R
PERUSAHAUS$750M3.9%TC240820A                                US71567PAL40        LDOB      PerusahaTC3.9%240820A
PERUSAHAUS$750M3.9%TC240820R                                US71567RAL06        SIUB      PerusahaTC3.9%240820R
PESQUERAUS$60.922M8%N250125A                                US715795AB66        8NDB      Pesquera n8%250125A
PESQUERAUS$60.922M8%N250125R                                USP7744AAB28        8NEB      Pesquera n8%250125R
PETROCHINA ADR 10                                           US71646E1001        K3OD      PTR ADR US$
PETROLEOS USD1B4.75%N320619A                                US716564AA72        75EB      Petroleosn4.75%320619A
PETROLEOS USD1B4.75%N320619R                                USP7808BAA54        75FB      Petroleosn4.75%320619R
PETROLEOS USD1B5.625%N470619A                               US716564AB55        75GB      Petroleon5.625%470619A
PETROLEOS USD1B5.625%N470619R                               USP7808BAB38        75IB      Petroleon5.625%470619R
PETRON CORP US$500M4.6%PCS                                  XS1740858540        8FHB      PetronCorp4.6% PCS S
PHARMESIS INTERNATIONAL LTD.                                SG1BH6000003        BFK       Pharmesis Intl
PHILIPPINBKUS$300M4.25%N230427                              XS1810088226        8TBB      PhilipNBK n4.25%230427S
PHILIPPINBKUS$750M3.28%N240927                              XS2016149960        FVQB      PhilipNBK n3.28%240927S
PHILLIP SGX APAC DIV REIT ETF                               SG1DB9000009        BYI       PHIL AP DIV REIT US$
PHILLIP SGX APAC DIV REIT ETF                               SG1DB9000009        BYJ       PHIL AP DIV REIT S$D
PHILLIP SING INCOME ETF                                     SGXC25065050        OVQ       PHIL SING INC
PINE CAPITAL GROUP LIMITED                                  SG1AA8000008        ADJ       Pine Cap
PINE CAPITAL GROUP W230506                                  SG5HB2000008        1J1W      Pine Cap W230506
PINEBRIDGE US$250M6%N240912                                 XS2049814184        ZFMB      Pinebridge n6%240912S
PING AN US$500M2.875% N210119                               XS1344507972        39MB      Ping An n2.875%210119S
PJSC GAZPROM GDR                                            US3682872078        AAI       GDR PJSC GazpromUS$S
PLASTOFORM HOLDINGS LIMITED                                 BMG712312062        AYD       Plastoform^
PLATO CAPITAL LIMITED                                       SG1Y93950240        5PI       Plato Capital
PNE INDUSTRIES LTD                                          SG1BF2000001        BDA       PNE Industries
POLARIS LTD.                                                SG1L96897898        5BI       Polaris
POLLUX PROPERTIES LTD.                                      SG1I77884290        5AE       Pollux Prop
POSCO EUR500M0.5%N240117A                                   XS2103230236        8P5B      POSCO n0.5%240117A
POSCO EUR500M0.5%N240117R                                   XS2103230152        CWOB      POSCO n0.5%240117R
POSCO US$440M2.5%N250117A                                   US693483AH25        TJXB      POSCO n2.5%250117A
POSCO US$440M2.5%N250117R                                   USY70750BV85        WCCB      POSCO n2.5%250117R
POSCO US$500M2.375%N221112A                                 US693483AF68        YPSB      POSCO n2.375%221112A
POSCO US$500M2.375%N221112R                                 USY70750BT30        YCKB      POSCO n2.375%221112R
POSCO US$500M2.375%N230117A                                 US693483AG42        JVQB      POSCO n2.375%230117A
POSCO US$500M2.375%N230117R                                 USY70750BU03        HGQB      POSCO n2.375%230117R
POSCO US$500M2.75%N240715A                                  US693483AE93        VNGB      POSCO n2.75%240715A
POSCO US$500M2.75%N240715R                                  USY70750BL04        LXGB      POSCO n2.75%240715R
POSCO US$500M4%N230801A                                     US693483AD11        VDLB      POSCO n4%230801A
POSCO US$500M4%N230801R                                     USY70750BK21        OVWB      POSCO n4%230801R
POSCO US$700M4.25%N201028A                                  US693483AB54        4MVB      POSCO n4.25%201028A
POSCO US$700M4.25%N201028R                                  USY70750AN78        4MWB      POSCO n4.25%201028R
POSCO US$700M5.25%N210414A                                  US693483AC38        4TNB      POSCO n5.25%210414A
POSCO US$700M5.25%N210414R                                  USY70750AR82        4TMB      POSCO n5.25%210414R
POSCO US$700M8.75%N140326A                                  US693483AA71        3UZB      POSCO n8.75%140326A
POSCO US$700M8.75%N140326R                                  USY70750AL13        3VAB      POSCO n8.75%140326R
POSCO YEN15B 2.7%211222                                     XS0718734634        7VXB      POSCO2.7%211222S
POWERFIN US$300M3.25%N240916                                XS2049301042        VLXB      PowerFin n3.25%240916S
POWERFIN US$300M5.25%N280810                                XS1864036576        XA7B      PowerFin n5.25%280810S
POWERFIN US$400M3.75%N240618                                XS2009878880        VVEB      PowerFin n3.75%240618S
POWERFIN US$400M3.75%N271206                                XS1725342288        8CRB      PowerFin n3.75%271206S
POWERFIN US$450M3.9%N290916                                 XS2051369671        96QB      PowerFin n3.9%290916S
POWERFIN US$500M6.15%N281206A                               US73928QAA67        KKMB      PowerFin n6.15%281206A
POWERFIN US$500M6.15%N281206R                               US73928RAA41        MTXB      PowerFin n6.15%281206R
POWERFIN US$600M4.5%N290618                                 XS2013531061        V1JB      PowerFin n4.5%290618S
POWERFIN US$750M3.95%N300423A                               US73928QAB41        WA1B      PowerFin n3.95%300423A
POWERFIN US$750M3.95%N300423R                               US73928RAB24        YNJB      PowerFin n3.95%300423R
POWERLONG HK$1.99B Z190211                                  XS1766830159        8HRB      Powerlong z190211S
POWERLONG US$170M6.95%N230723                               XS2030333384        V7HB      Powerlongn6.95%230723S
POWERLONG US$200M4.875%N210915                              XS1489814779        4T6B      Powerlong 4.875%n210915S
POWERLONG US$200M5.95%N200719                               XS1645451565        77PB      Powerlong 5.95%n200719S
POWERLONG US$200M9.125%N210114                              XS1932406314        46XB      Powerlong 9.125%n210114S
POWERLONG US$300M7.125%N221108                              XS2078556342        KKLB      Powerlongn7.125%221108S
POWERLONG US$350M6.95%N210417                               XS1805359939        8RGB      Powerlongn6.95%210417S
POWERMATIC DATA SYSTEMS LTD                                 SG1BF0000003        BCY       Powermatic Data
PRIME BLOOM US$250M7.5%N191219                              XS1523057021        66PB      Prime Bloom n7.5%191219S
PRIME BLOOMUS$200M6.95%N220705                              XS1636491794        76QB      Prime Bloomn6.95%220705S
PRIME US REIT                                               SGXC75818630        OXMU      Prime US ReitUSD
PRIMEASSET SGD170M2.9%N241024                               SG7IA7000009        82MB      PrimeAssetn2.9%241024S
PRINCIPAL FTSE ASEAN40                                      SG1T81931787        M62       PRINCIPAL ASEAN40 US$
PRINCIPAL FTSE ASEAN40                                      SG1T81931787        QS0       PRINCIPAL ASEAN40 S$D
PRINCIPAL S&P APAC DIVIDEND                                 SG2E57979584        P5P       PRINCIPAL S&P AP DIV US$
PRINCIPAL S&P APAC DIVIDEND                                 SG2E57979584        QR9       PRINCIPAL S&P AP DIV S$D
PROCURRI CORPORATION LIMITED                                SG1DA4000006        BVQ       Procurri
PROGEN HOLDINGS LTD                                         SG1F48858053        583       Progen
PROMIGAS US$400M3.75%N291016A                               US74348DAA54        XJNB      Promigas n3.75%291016A
PROMIGAS US$400M3.75%N291016R                               USP7922TAA71        45WB      Promigas n3.75%291016R
PROPNEX LIMITED                                             SGXE65086469        OYY       PropNex
PROTECTIVEUS$500M5.35%N520810A                              US743674BC62        7G3B      Protective n5.35%520810A
PROTECTIVEUS$500M5.35%N520810R                              USU7431HAA15        7G4B      Protective n5.35%520810R
PROVINCE OF ONTARIO BD7.5%24                                CA683234HL50        608B      PR ONT bd7.5%24
PRUDENTIAL PLC                                              GB0007099541        K6S       Prudential USD
PRUMO PARTUS$350M7.5%N311231A                               US74444JAE73        VDEB      PrumoPart n7.5%311231A
PRUMO PARTUS$350M7.5%N311231R                               USP7922DAB03        YOIB      PrumoPart n7.5%311231R
PSA INT US$500M 3.875%N210211                               XS0531622404        4IXB      PSA Int3.875%210211S
PSA TR S$500M1.63%N300318                                   XS2134362362        V3IB      PSATr n1.63%300318S
PSA TR US$500M 2.125%N290905                                XS2049150837        9JGB      PSATr n2.125%290905 S
PSA TR US$500M 2.5%N260412                                  XS1394067703        3Y8B      PSATr n2.5%260412 S
PSALM US$1.179B7.39%N241202A                                US73933BAB09        4BDB      PSALM n7.39%241202A
PSALM US$1.179B7.39%N241202R                                USY7083VAD11        4BEB      PSALM n7.39%241202R
PSALM US$1B7.25%N190527A                                    US73933BAA26        3WNB      PSALM n7.25%190527A
PSALM US$1B7.25%N190527R                                    USY7083VAB54        3WOB      PSALM n7.25%190527R
PSL HOLDINGS LTD                                            SG1CC8000000        BLL       PSL^
PT ABM US$300M 7.125%N220801A                               US69379AAA34        79OB      PTABM n7.125%220801A
PT ABM US$300M 7.125%N220801R                               USY708CHAA88        79PB      PTABM n7.125%220801R
PT ADARO US$750M4.25%N241031A                               US69368KAB26        W8QB      PTAdaro n4.25%241031A
PT ADARO US$750M4.25%N241031R                               USY70902AB04        KRKB      PTAdaro n4.25%241031R
PT ADARO US$800M7.625%N191022A                              US69368KAA43        3ZTB      PTAdaro7.625%191022A
PT ADARO US$800M7.625%N191022R                              USY70902AA21        3ZUB      PTAdaro7.625%191022R
PT BERLIAN LAJU TANKER TBK                                  ID1000099906        B66       Berlian LajuTank
PT CHANDRAUS$300M4.95%N241108A                              US69371GAA85        84CB      PTChandran4.95%241108A
PT CHANDRAUS$300M4.95%N241108R                              USY7141GAA05        84DB      PTChandran4.95%241108R
PT CIKARANGUSD550M4.95%260914A                              US536576AD36        4S4B      PT Cikarangn4.95%260914A
PT CIKARANGUSD550M4.95%260914R                              USN5276YAD87        4S5B      PT Cikarangn4.95%260914R
PT CIPUTRA S$150M4.85%N210920                               SG7HD1000001        7Z0B      PT Ciputra4.85%n210920S
PT DELTA US$300M8.625%N240312A                              US69374VAA26        V7FB      PT Delta8.625%240312A
PT DELTA US$300M8.625%N240312R                              USY2124AAA52        RSWB      PT Delta8.625%240312R
PT GAJAHT US$250M8.375%N220810                              XS1655090139        7G1B      PT Gajahn8.375%220810S
